Num_temporada,Nom_liga,Num_jornada,Nom_eqloc,Nom_eqvis,Gol_local,Gol_visitante
1973,1,1,Granada,Zaragoza,0,0
1973,1,1,Barcelona,Dptivo. Coruna,3,1
1973,1,1,At. Madrid,Valencia,1,3
1973,1,1,Las Palmas,Oviedo,2,1
1973,1,1,Sporting Gijon,Betis,1,0
1973,1,1,Castellon,Real Madrid,2,3
1973,1,1,Celta,Espanyol,1,1
1973,1,1,Malaga (C.D.),Ath. Bilbao,0,0
1973,1,1,Burgos,Real Sociedad,1,0
1973,1,2,Zaragoza,Burgos,2,0
1973,1,2,Dptivo. Coruna,Granada,0,0
1973,1,2,Valencia,Barcelona,0,1
1973,1,2,Oviedo,At. Madrid,0,2
1973,1,2,Betis,Las Palmas,0,2
1973,1,2,Real Madrid,Sporting Gijon,1,0
1973,1,2,Espanyol,Castellon,1,0
1973,1,2,Ath. Bilbao,Celta,1,1
1973,1,2,Real Sociedad,Malaga (C.D.),1,1
1973,1,3,Zaragoza,Dptivo. Coruna,5,0
1973,1,3,Granada,Valencia,1,1
1973,1,3,Barcelona,Oviedo,3,1
1973,1,3,At. Madrid,Betis,2,1
1973,1,3,Las Palmas,Real Madrid,1,1
1973,1,3,Sporting Gijon,Espanyol,0,0
1973,1,3,Castellon,Ath. Bilbao,1,4
1973,1,3,Celta,Real Sociedad,0,1
1973,1,3,Burgos,Malaga (C.D.),2,2
1973,1,4,Dptivo. Coruna,Burgos,2,1
1973,1,4,Valencia,Zaragoza,0,0
1973,1,4,Oviedo,Granada,3,0
1973,1,4,Betis,Barcelona,0,2
1973,1,4,Real Madrid,At. Madrid,0,1
1973,1,4,Espanyol,Las Palmas,4,0
1973,1,4,Ath. Bilbao,Sporting Gijon,2,0
1973,1,4,Real Sociedad,Castellon,0,0
1973,1,4,Malaga (C.D.),Celta,1,0
1973,1,5,Dptivo. Coruna,Valencia,1,1
1973,1,5,Zaragoza,Oviedo,3,0
1973,1,5,Granada,Betis,0,0
1973,1,5,Barcelona,Real Madrid,1,0
1973,1,5,At. Madrid,Espanyol,0,0
1973,1,5,Las Palmas,Ath. Bilbao,1,0
1973,1,5,Sporting Gijon,Real Sociedad,3,0
1973,1,5,Castellon,Malaga (C.D.),1,0
