TEMPORADA        DIVISIÓN  JORNADA   LOCAL      VISITANTE      GOL LOC   GOL VISIT  
1972-1973           1ª              1 Granada     Zaragoza       0-0       0-0      
1972-1973           1ª              1 Barcelona   Dptivo. Coruñ  3-1       3-1      
1972-1973           1ª              1 At. Madrid  Valencia       1-3       1-3      
1972-1973           1ª              1 Las Palmas  Oviedo         2-1       2-1      
1972-1973           1ª              1 Sporting G  Betis          1-0       1-0      
1972-1973           1ª              1 Castellón   Real Madrid    2-3       2-3      
1972-1973           1ª              1 Celta       Espanyol       1-1       1-1      
1972-1973           1ª              1 Málaga (C.  Ath. Bilbao    0-0       0-0      
1972-1973           1ª              1 Burgos      Real Sociedad  1-0       1-0      
1972-1973           1ª              2 Zaragoza    Burgos         2-0       2-0      
1972-1973           1ª              2 Dptivo. Co  Granada        0-0       0-0      
1972-1973           1ª              2 Valencia    Barcelona      0-1       0-1      
1972-1973           1ª              2 Oviedo      At. Madrid     0-2       0-2      
1972-1973           1ª              2 Betis       Las Palmas     0-2       0-2      
1972-1973           1ª              2 Real Madri  Sporting Gijó  1-0       1-0      
1972-1973           1ª              2 Espanyol    Castellón      1-0       1-0      
1972-1973           1ª              2 Ath. Bilba  Celta          1-1       1-1      
1972-1973           1ª              2 Real Socie  Málaga (C.D.)  1-1       1-1      
1972-1973           1ª              3 Zaragoza    Dptivo. Coruñ  5-0       5-0      
1972-1973           1ª              3 Granada     Valencia       1-1       1-1      
1972-1973           1ª              3 Barcelona   Oviedo         3-1       3-1      
1972-1973           1ª              3 At. Madrid  Betis          2-1       2-1      
1972-1973           1ª              3 Las Palmas  Real Madrid    1-1       1-1      
1972-1973           1ª              3 Sporting G  Espanyol       0-0       0-0      
1972-1973           1ª              3 Castellón   Ath. Bilbao    1-4       1-4      
1972-1973           1ª              3 Celta       Real Sociedad  0-1       0-1      
1972-1973           1ª              3 Burgos      Málaga (C.D.)  2-2       2-2      
1972-1973           1ª              4 Dptivo. Co  Burgos         2-1       2-1      
1972-1973           1ª              4 Valencia    Zaragoza       0-0       0-0      
1972-1973           1ª              4 Oviedo      Granada        3-0       3-0      
1972-1973           1ª              4 Betis       Barcelona      0-2       0-2      
1972-1973           1ª              4 Real Madri  At. Madrid     0-1       0-1      
1972-1973           1ª              4 Espanyol    Las Palmas     4-0       4-0      
1972-1973           1ª              4 Ath. Bilba  Sporting Gijó  2-0       2-0      
1972-1973           1ª              4 Real Socie  Castellón      0-0       0-0      
1972-1973           1ª              4 Málaga (C.  Celta          1-0       1-0      
1972-1973           1ª              5 Dptivo. Co  Valencia       1-1       1-1      
1972-1973           1ª              5 Zaragoza    Oviedo         3-0       3-0      
1972-1973           1ª              5 Granada     Betis          0-0       0-0      
1972-1973           1ª              5 Barcelona   Real Madrid    1-0       1-0      
1972-1973           1ª              5 At. Madrid  Espanyol       0-0       0-0      
1972-1973           1ª              5 Las Palmas  Ath. Bilbao    1-0       1-0      
1972-1973           1ª              5 Sporting G  Real Sociedad  3-0       3-0      
1972-1973           1ª              5 Castellón   Málaga (C.D.)  1-0       1-0      
1972-1973           1ª              5 Burgos      Celta          0-0       0-0      
1972-1973           1ª              6 Valencia    Burgos         3-0       3-0      
1972-1973           1ª              6 Oviedo      Dptivo. Coruñ  0-0       0-0      
1972-1973           1ª              6 Betis       Zaragoza       1-1       1-1      
1972-1973           1ª              6 Real Madri  Granada        2-1       2-1      
1972-1973           1ª              6 Espanyol    Barcelona      1-1       1-1      
1972-1973           1ª              6 Ath. Bilba  At. Madrid     1-0       1-0      
1972-1973           1ª              6 Real Socie  Las Palmas     1-0       1-0      
1972-1973           1ª              6 Málaga (C.  Sporting Gijó  1-0       1-0      
1972-1973           1ª              6 Celta       Castellón      2-0       2-0      
1972-1973           1ª              7 Valencia    Oviedo         2-2       2-2      
1972-1973           1ª              7 Dptivo. Co  Betis          2-0       2-0      
1972-1973           1ª              7 Zaragoza    Real Madrid    0-0       0-0      
1972-1973           1ª              7 Granada     Espanyol       2-2       2-2      
1972-1973           1ª              7 Barcelona   Ath. Bilbao    1-0       1-0      
1972-1973           1ª              7 At. Madrid  Real Sociedad  2-1       2-1      
1972-1973           1ª              7 Las Palmas  Málaga (C.D.)  1-3       1-3      
1972-1973           1ª              7 Sporting G  Celta          3-1       3-1      
1972-1973           1ª              7 Burgos      Castellón      2-1       2-1      
1972-1973           1ª              8 Oviedo      Burgos         1-0       1-0      
1972-1973           1ª              8 Betis       Valencia       0-0       0-0      
1972-1973           1ª              8 Real Madri  Dptivo. Coruñ  0-0       0-0      
1972-1973           1ª              8 Espanyol    Zaragoza       3-1       3-1      
1972-1973           1ª              8 Ath. Bilba  Granada        0-1       0-1      
1972-1973           1ª              8 Real Socie  Barcelona      2-0       2-0      
1972-1973           1ª              8 Málaga (C.  At. Madrid     0-1       0-1      
1972-1973           1ª              8 Celta       Las Palmas     3-1       3-1      
1972-1973           1ª              8 Castellón   Sporting Gijó  1-0       1-0      
1972-1973           1ª              9 Oviedo      Betis          0-0       0-0      
1972-1973           1ª              9 Valencia    Real Madrid    0-1       0-1      
1972-1973           1ª              9 Dptivo. Co  Espanyol       0-0       0-0      
1972-1973           1ª              9 Zaragoza    Ath. Bilbao    3-2       3-2      
1972-1973           1ª              9 Granada     Real Sociedad  2-0       2-0      
1972-1973           1ª              9 Barcelona   Málaga (C.D.)  0-0       0-0      
1972-1973           1ª              9 At. Madrid  Celta          5-1       5-1      
1972-1973           1ª              9 Las Palmas  Castellón      0-1       0-1      
1972-1973           1ª              9 Burgos      Sporting Gijó  2-1       2-1      
1972-1973           1ª             10 Betis       Burgos         5-1       5-1      
1972-1973           1ª             10 Real Madri  Oviedo         3-0       3-0      
1972-1973           1ª             10 Espanyol    Valencia       3-0       3-0      
1972-1973           1ª             10 Ath. Bilba  Dptivo. Coruñ  3-0       3-0      
1972-1973           1ª             10 Real Socie  Zaragoza       3-0       3-0      
1972-1973           1ª             10 Málaga (C.  Granada        3-0       3-0      
1972-1973           1ª             10 Celta       Barcelona      0-0       0-0      
1972-1973           1ª             10 Castellón   At. Madrid     1-1       1-1      
1972-1973           1ª             10 Sporting G  Las Palmas     2-2       2-2      
1972-1973           1ª             11 Betis       Real Madrid    2-1       2-1      
1972-1973           1ª             11 Oviedo      Espanyol       1-2       1-2      
1972-1973           1ª             11 Valencia    Ath. Bilbao    4-1       4-1      
1972-1973           1ª             11 Dptivo. Co  Real Sociedad  1-2       1-2      
1972-1973           1ª             11 Zaragoza    Málaga (C.D.)  1-1       1-1      
1972-1973           1ª             11 Granada     Celta          1-0       1-0      
1972-1973           1ª             11 Barcelona   Castellón      3-1       3-1      
1972-1973           1ª             11 At. Madrid  Sporting Gijó  0-1       0-1      
1972-1973           1ª             11 Burgos      Las Palmas     3-3       3-3      
1972-1973           1ª             12 Real Madri  Burgos         2-0       2-0      
1972-1973           1ª             12 Espanyol    Betis          2-2       2-2      
1972-1973           1ª             12 Ath. Bilba  Oviedo         3-3       3-3      
1972-1973           1ª             12 Real Socie  Valencia       2-1       2-1      
1972-1973           1ª             12 Málaga (C.  Dptivo. Coruñ  4-1       4-1      
1972-1973           1ª             12 Celta       Zaragoza       1-2       1-2      
1972-1973           1ª             12 Castellón   Granada        0-0       0-0      
1972-1973           1ª             12 Sporting G  Barcelona      1-1       1-1      
1972-1973           1ª             12 Las Palmas  At. Madrid     2-2       2-2      
1972-1973           1ª             13 Real Madri  Espanyol       1-0       1-0      
1972-1973           1ª             13 Betis       Ath. Bilbao    0-0       0-0      
1972-1973           1ª             13 Oviedo      Real Sociedad  1-1       1-1      
1972-1973           1ª             13 Valencia    Málaga (C.D.)  2-1       2-1      
1972-1973           1ª             13 Dptivo. Co  Celta          1-0       1-0      
1972-1973           1ª             13 Zaragoza    Castellón      0-1       0-1      
1972-1973           1ª             13 Granada     Sporting Gijó  1-0       1-0      
1972-1973           1ª             13 Barcelona   Las Palmas     3-1       3-1      
1972-1973           1ª             13 Burgos      At. Madrid     0-1       0-1      
1972-1973           1ª             14 Espanyol    Burgos         2-0       2-0      
1972-1973           1ª             14 Ath. Bilba  Real Madrid    2-1       2-1      
1972-1973           1ª             14 Real Socie  Betis          2-1       2-1      
1972-1973           1ª             14 Málaga (C.  Oviedo         1-1       1-1      
1972-1973           1ª             14 Celta       Valencia       1-0       1-0      
1972-1973           1ª             14 Castellón   Dptivo. Coruñ  2-0       2-0      
1972-1973           1ª             14 Sporting G  Zaragoza       3-0       3-0      
1972-1973           1ª             14 Las Palmas  Granada        1-0       1-0      
1972-1973           1ª             14 At. Madrid  Barcelona      2-0       2-0      
1972-1973           1ª             15 Espanyol    Ath. Bilbao    0-0       0-0      
1972-1973           1ª             15 Real Madri  Real Sociedad  6-1       6-1      
1972-1973           1ª             15 Betis       Málaga (C.D.)  0-1       0-1      
1972-1973           1ª             15 Oviedo      Celta          0-0       0-0      
1972-1973           1ª             15 Valencia    Castellón      4-2       4-2      
1972-1973           1ª             15 Dptivo. Co  Sporting Gijó  2-1       2-1      
1972-1973           1ª             15 Zaragoza    Las Palmas     1-0       1-0      
1972-1973           1ª             15 Granada     At. Madrid     0-1       0-1      
1972-1973           1ª             15 Burgos      Barcelona      0-0       0-0      
1972-1973           1ª             16 Burgos      Ath. Bilbao    5-1       5-1      
1972-1973           1ª             16 Real Socie  Espanyol       4-1       4-1      
1972-1973           1ª             16 Málaga (C.  Real Madrid    1-0       1-0      
1972-1973           1ª             16 Celta       Betis          0-0       0-0      
1972-1973           1ª             16 Castellón   Oviedo         2-0       2-0      
1972-1973           1ª             16 Sporting G  Valencia       1-1       1-1      
1972-1973           1ª             16 Las Palmas  Dptivo. Coruñ  3-0       3-0      
1972-1973           1ª             16 At. Madrid  Zaragoza       0-0       0-0      
1972-1973           1ª             16 Barcelona   Granada        3-0       3-0      
