Camp Nou;Cataluna;1957;99354;;;
Santiago Bernabeu;Comunidad de Madrid;1947;81044;;;
Metropolitano;Comunidad de Madrid;2017;67703;;;
Benito Villamarin;Andalucia;1929;60721;;;
La Cartuja;Andalucia;1997;60000;;;
Olimpico Lluis Companys;Cataluna;1927;55926;;;
Mestalla;Comunidad Valenciana;1923;55000;;;
San Mames;Pais Vasco;2013;53289;;;
Ramon Sanchez Pizjuan;Andalucia;1958;43883;;;
Anoeta;Pais Vasco;1993;42000;;;
RCDE Stadium;Cataluna;2009;40500;;;
Manuel Martinez Valero;Comunidad Valenciana;1976;33732;;;
La Romareda;Aragon;1957;33608;;;
Riazor;Galicia;1944;32911;;;
Gran Canaria;Canarias;2003;32392;;;
Nueva Condomina;Region de Murcia;2006;31179;;;
Balaidos;Galicia;1928;31100;;;
Carlos Tartiere;Principado de Asturias;2000;30500;;;
La Rosaleda;Andalucia;1941;30044;;;
El Molinon;Principado de Asturias;1908;30000;;;
Jose Rico Perez;Comunidad Valenciana;1974;29500;;;
Jose Zorrilla;Castilla y Leon;1982;26512;;;
Ciudad de Valencia;Comunidad Valenciana;1969;25354;;;
Ramon de Carranza;Andalucia;1957;25033;;;
Son Moix;Islas Baleares;1999;24262;;;
Estadio de la Ceramica;Comunidad Valenciana;1923;23500;;;
Heliodoro Rodriguez Lopez;Canarias;1925;23000;;;
Nuevo Los Carmenes;Andalucia;1995;22369;;;
El Sardinero;Cantabria;1988;22222;;;
Nuevo Arcangel;Andalucia;1993;21822;;;
Nuevo Colombino;Andalucia;2001;21670;;;
Chapin;Andalucia;1988;20486;;;
Mendizorroza;Pais Vasco;1924;19840;;;
El Sadar;Navarra;1967;19800;;;
Balear;Islas Baleares;1960;18000;;;
Carlos Belmonte;Castilla-La Mancha;1960;18000;;;
Helmantico;Castilla y Leon;1970;17341;;;
Coliseum Alfonso Perez;Comunidad de Madrid;1998;17000;;;
Las Gaunas;La Rioja;2002;16000;;;
Nuevo Vivero;Extremadura;1998;15598;;;
Castalia;Comunidad Valenciana;1987;15500;;;
Mini Estadi;Cataluna;1982;15276;;;
Cartagonova;Region de Murcia;1988;15105;;;
Juegos Mediterraneos;Andalucia;2004;15000;;;
Estadio de Vallecas;Comunidad de Madrid;1976;14708;;;
Romano;Extremadura;1953;14537;;;
Nou Estadi de Tarragona;Cataluna;1971;14500;;;
El Soto;Comunidad de Madrid;1974;14000;;;
Camp d'Esports;Cataluna;1919;13500;;;
Reino de Leon;Castilla y Leon;2001;13451;;;
Municipal de MontiliviA;Cataluna;1970;13400;;;
Juan Rojas;Andalucia;1976;13000;;;
San Lazaro;Galicia;1993;13000;;;
La Victoria;Andalucia;2001;12600;;;
Butarque;Comunidad de Madrid;1998;12450;;;
El Plantio;Castilla y Leon;1964;12200;;;
A Malata;Galicia;1993;12043;;;
Pasaron;Galicia;1956;12000;;;
Nova Creu Alta;Cataluna;1967;11981;;;
Francisco de la Hera;Extremadura;1951;11580;;;
Olimpic de Terrassa;Cataluna;1960;11500;;;
Ciudad de Tudela;Navarra;1969;11000;;;
Ciudad de Malaga;Andalucia;2006;10816;;;
Alvarez Claro;Melilla;1945;10000;;;
Linarejos;Andalucia;1956;10000;;;
Nou Camp de Inca;Islas Baleares;1964;10000;;;
Municipal de Vilatenim;Cataluna;1986;9472;;;
Nuevo Los Pajaritos;Castilla y Leon;1999;9025;;;
La Murta;Comunidad Valenciana;1920;9000;;;
Guillermo Amor;Comunidad Valenciana;1964;9000;;;
Antonio Peroles;Andalucia;2005;9000;;;
Jose del Cuvillo;Andalucia;1972;8600;;;
El Toralin;Castilla y Leon;2000;8200;;;
Ipurua;Pais Vasco;1947;8127;;;
Francisco Artes Carrasco;Region de Murcia;2003;8120;;;
Luis Suner;Comunidad Valenciana;1973;8100;;;
Nueva Balastera;Castilla y Leon;2006;8070;;;
Francisco Peraza;Canarias;1923;8000;;;
Municipal El Val;Comunidad de Madrid;1947;8000;;;
Pepico Amat;Comunidad Valenciana;1964;8000;;;
Gerardo Salvador;Comunidad Valenciana;1971;8000;;;
Viejo Nervion;Andalucia;1974;8000;;;
Nou Camp de Sa Pobla;Islas Baleares;1977;8000;;;
Municipal de San Miguel;Andalucia;1986;8000;;;
Iberoamericano 2010;Andalucia;1992;8000;;;
Ciudad de Puertollano;Castilla-La Mancha;2010;8000;;;
Lasesarre;Pais Vasco;2001;7960;;;
Angel Carro;Galicia;1974;7840;;;
Ruta de la Plata;Castilla y Leon;2002;7813;;;
El Alcoraz;Aragon;1972;7638;;;
Polideportivo Municipal;Andalucia;1983;7500;;;
Antonio Dominguez Alfonso;Canarias;1992;7500;;;
Nuevo Mirador;Andalucia;1999;7200;;;
Ciudad Deportiva de Lanzarote;Canarias;1968;7000;;;
Municipal de Marbella;Andalucia;1975;7000;;;
Principe Felipe;Extremadura;1977;7000;;;
Narcis Sala;Cataluna;1970;6593;;;
Alfonso Murube;Ceuta;1933;6500;;;
Municipal Villanovense;Extremadura;1992;6500;;;
Estadi de la Feixa Llarga;Cataluna;1999;6294;;;
Nuevo Malecon;Cantabria;1922;6007;;;
Guadalquivir;Andalucia;1923;6000;;;
Pedro Escartin;Castilla-La Mancha;1967;6000;;;
Vicente Garcia;Comunidad Valenciana;1971;6000;;;
La Albuera;Castilla y Leon;1977;6000;;;
Alfredo Di Stefano;Comunidad de Madrid;2005;6000;;;
La Fuensanta;Castilla-La Mancha;2011;6000;;;
El Prado;Castilla-La Mancha;1944;6000;;;
La Planilla;La Rioja;1946;6000;;;
Anduva;Castilla y Leon;1950;6000;;;
Alberto Fernandez;Castilla y Leon;1968;6000;;;
Adolfo Suarez;Castilla y Leon;1976;6000;;;
El Montecillo;Castilla y Leon;1977;6000;;;
San Pablo;Andalucia;1986;6000;;;
Nou Municipal de Palamos;Cataluna;1989;6000;;;
Ciutat Esportiva Dani Jarque;Cataluna;2001;6000;;;
Virgen de las Nieves;Canarias;2001;6000;;;
O Couto;Galicia;1948;5659;;;
La Magdalena;Comunidad Valenciana;1949;5500;;;
La Arboleja;Murcia;1984;5500;;;
Nuevo Roman Suarez Puerta;Principado de Asturias;1999;5500;;;
Nuestra Senora de la Caridad;Castilla-La Mancha;1958;5500;;;
Chamorro Martinez;Andalucia;1970;5500;;;
Polideportivo Municipal;Castilla-La Mancha;1976;5500;;;
Ciudad Deportiva de Plasencia;Extremadura;1982;5500;;;
Los Corrales;Cantabria;2013;5500;;;
Salto del Caballo;Castilla-La Mancha;1973;5300;;;
Ciudad de Ayamonte;Andalucia;2007;5200;;;
Santo Domingo;Comunidad de Madrid;1978;5100;;;
Ciudad Deportiva del Villarreal CF;Comunidad Valenciana;2002;5100;;;
Vicente Sanz;Extremadura;1957;5000;;;
Municipal de Lucena;Andalucia;1972;5000;;;
El Mauli;Andalucia;1981;5000;;;
La Serratella;Comunidad Valenciana;2000;5000;;;
Stadium Gal;Pais Vasco;1926;5000;;;
La Constitucion;Region de Murcia;1944;5000;;;
El Palmar;Andalucia;1948;5000;;;
Municipal de Tomelloso;Castilla-La Mancha;1948;5000;;;
El Clariano;Comunidad Valenciana;1951;5000;;;
Miramar;Principado de Asturias;1952;5000;;;
Los Cuartos;Canarias;1953;5000;;;
Pinilla;Aragon;1957;5000;;;
Municipal de Deportes;Aragon;1966;5000;;;
Escribano Castilla;Andalucia;1970;5000;;;
Nuevo Estadio;Extremadura;1972;5000;;;
Municipal Navalmoral de la Mata;Extremadura;1972;5000;;;
Nuevo Silvestre Carrillo;Canarias;1977;5000;;;
Camp Nou Municipal;Cataluna;1978;5000;;;
Municipal de Montilla;Andalucia;1981;5000;;;
Mundial 82;Comunidad Valenciana;1984;5000;;;
Nou Municipal;Cataluna;1994;5000;;;
La Bòbila;Cataluna;1995;5000;;;
La Juventud;Andalucia;2001;5000;;;
Artunduaga;Pais Vasco;2007;5000;;;
Ciudad Deportiva Municipal;Extremadura;2007;5000;;;
Municipal de Alcazar;Castilla-La Mancha;;5000;;;
Baltar;Galicia;;5000;;;
Orellana;Principado de Asturias;;5000;;;
Gazituaga;Pais Vasco;;5000;;;
Fernando Torres;Comunidad de Madrid;;5000;;;
Municipal;Canarias;;5000;;;
Ciudad Deportiva;Extremadura;;5000;;;
Manuel Calzado Galvan;Extremadura;;5000;;;
Santa Ana;Aragon;;5000;;;
Isidro Calderon;Aragon;;5000;;;
El Olivar;Castilla-La Mancha;;5000;;;
La Condomina;Region de Murcia;1924;4600;;;
Area Deportiva de Puente Castro;Castilla y Leon;1998;4600;;;
Estadi Municipal de Can Misses;Islas Baleares;1991;4500;;;
Matias Prats;Andalucia;1934;4500;;;
Las Llanas;Pais Vasco;1923;4367;;;
El Mazo;La Rioja;2004;4300;;;
Municipal de Badalona;Cataluna;2017;4170;;;
Hermanos Antuna;Principado de Asturias;1951;4000;;;
Nou Sardenya;Cataluna;1995;4000;;;
El Rubial;Region de Murcia;1913;4000;;;
Estadio El Carmen Sarinena;Aragon;1960;4000;;;
Merkatondoa;Navarra;1928;3500;;;
Los Arcos;Comunidad Valenciana;1945;3500;;;
As Eiroas;Galicia;2001;3500;;;
Cerro del EspinoA;Comunidad de Madrid;1995;3376;;;
Guillermo Olagüe;Comunidad Valenciana;1967;3259;;;
El Pilar;Cantabria;1922;3000;;;
Pepe Ortiz;Principado de Asturias;1995;3000;;;
Pepe Goncalvez;Canarias;1938;3000;;;
Javier Sotomayor;Castilla y Leon;1970;2400;;;
Municipal de Ejea;Aragon;2010;2223;;;
La Mina;Comunidad de Madrid;1916;2000;;;
La Espiguera;Melilla;1917;2000;;;
Municipal de Guijuelo;Castilla y Leon;1970;2000;;;
Nuevo San Bartolome;Andalucia;1982;2000;;;
Vicente del Bosque;Castilla y Leon;2013;2000;;;
La Hoya;Region de Murcia;1981;2000;;;
