TEMPORADA,DIVISION
1972-1973,1ª
1972-1973,2ª
1973-1974,1ª
1973-1974,2ª
1974-1975,1ª
1974-1975,2ª
1975-1976,1ª
1975-1976,2ª
1976-1977,1ª
1976-1977,2ª
1977-1978,1ª
1977-1978,2ª
1978-1979,1ª
1978-1979,2ª
1979-1980,1ª
1979-1980,2ª
1980-1981,1ª
1980-1981,2ª
1981-1982,1ª
1981-1982,2ª
1982-1983,1ª
1982-1983,2ª
1983-1984,1ª
1983-1984,2ª
1984-1985,1ª
1984-1985,2ª
1985-1986,1ª
1985-1986,2ª
1986-1987,1ª
1986-1987,2ª
1986-1987,Descenso
1987-1988,1ª
1987-1988,2ª
1987-1988,Promocion
1988-1989,1ª
1988-1989,2ª
1988-1989,Promocion
1989-1990,1ª
1989-1990,2ª
1989-1990,Promocion
1990-1991,1ª
1990-1991,2ª
1990-1991,Promocion
1991-1992,1ª
1991-1992,2ª
1991-1992,Promocion
1992-1993,1ª
1992-1993,2ª
1992-1993,Promocion
1993-1994,1ª
1993-1994,2ª
1993-1994,Promocion
1994-1995,1ª
1994-1995,2ª
1994-1995,Promocion
1995-1996,1ª
1995-1996,2ª
1995-1996,Promocion
1996-1997,1ª
1996-1997,2ª
1996-1997,Promocion
1997-1998,1ª
1997-1998,2ª
1997-1998,Promocion
1998-1999,1ª
1998-1999,2ª
1998-1999,Promocion
1999-2000,1ª
1999-2000,2ª
2000-2001,1ª
2000-2001,2ª
2001-2002,1ª
2001-2002,2ª
2002-2003,1ª
2002-2003,2ª
2003-2004,1ª
2003-2004,2ª
2004-2005,1ª
2004-2005,2ª
2005-2006,1ª
2005-2006,2ª
2006-2007,1ª
2006-2007,2ª
2007-2008,1ª
2007-2008,2ª
2008-2009,1ª
2008-2009,2ª
2009-2010,1ª
2009-2010,2ª
2010-2011,1ª
2010-2011,2ª
2010-2011,Promocion
2011-2012,1ª
2011-2012,2ª
2011-2012,Promocion
2012-2013,1ª
2012-2013,2ª
2012-2013,Promocion
2013-2014,1ª
2013-2014,2ª
2013-2014,Promocion
2014-2015,1ª
2014-2015,2ª
2014-2015,Promocion
2015-2016,1ª
2015-2016,2ª
